Person,Date,Number of Sleep Hours
nj,11/1/2017,15
nj,11/2/2017,8
nj,11/3/2017,15
nj,11/4/2017,13
nj,11/5/2017,3
nj,11/6/2017,15
nj,11/7/2017,11
nj,11/8/2017,4
nj,11/9/2017,15
nj,11/10/2017,12
nj,11/11/2017,15
nj,11/12/2017,7
nj,11/13/2017,15
nj,11/14/2017,15
nj,11/15/2017,15
nj,11/16/2017,15
nj,11/17/2017,15
nj,11/18/2017,20
nj,11/19/2017,15
nj,11/20/2017,15
ank,11/1/2017,8
ank,11/2/2017,8
ank,11/3/2017,10
ank,11/4/2017,9
ank,11/5/2017,8
ank,11/6/2017,9
ank,11/7/2017,8
ank,11/8/2017,8
ank,11/9/2017,7
ank,11/10/2017,8
ank,11/11/2017,8
ank,11/12/2017,6
ank,11/13/2017,8
ank,11/14/2017,8
ank,11/15/2017,6
ank,11/16/2017,8
ank,11/17/2017,6
ank,11/18/2017,5
ank,11/19/2017,5
ank,11/20/2017,8
rb,11/1/2017,12
rb,11/2/2017,9
rb,11/3/2017,9
rb,11/4/2017,14
rb,11/5/2017,9
rb,11/6/2017,9
rb,11/7/2017,9
rb,11/8/2017,15
rb,11/9/2017,9
rb,11/10/2017,9
rb,11/11/2017,2
rb,11/12/2017,9
rb,11/13/2017,9
rb,11/14/2017,8
rb,11/15/2017,9
rb,11/16/2017,9
rb,11/17/2017,9
rb,11/18/2017,10
rb,11/19/2017,9
rb,11/20/2017,9
dj,11/1/2017,15
dj,11/2/2017,11
dj,11/3/2017,15
dj,11/4/2017,12
dj,11/5/2017,10
dj,11/6/2017,10
dj,11/7/2017,12
dj,11/8/2017,10
dj,11/9/2017,14
dj,11/10/2017,10
dj,11/11/2017,22
dj,11/12/2017,10
dj,11/13/2017,16
dj,11/14/2017,23
dj,11/15/2017,22
dj,11/16/2017,10
dj,11/17/2017,23
dj,11/18/2017,10
dj,11/19/2017,12
dj,11/20/2017,15
dg,11/1/2017,11
dg,11/2/2017,22
dg,11/3/2017,11
dg,11/4/2017,11
dg,11/5/2017,11
dg,11/6/2017,11
dg,11/7/2017,11
dg,11/8/2017,11
dg,11/9/2017,11
dg,11/10/2017,11
dg,11/11/2017,11
dg,11/12/2017,11
dg,11/13/2017,11
dg,11/14/2017,11
